request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 on 03 August 2025. This keeps the IDR 24768300 minimum protected over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 on 05 July 2026. This keeps the ZAR 20500 minimum protected over the next 90 days.
request_28,291.15,affordable_later,wait,2024-07-14:1302.40,2024-07-14,none,"Wait until 14 July 2024, then pay EUR 1302.40 in full. Paying sooner would put the EUR 1100 minimum at risk."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 on 04 November 2025. This keeps the ZAR 28300 minimum protected over the next 90 days.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 06 April 2026. This keeps the USD 900 minimum protected."
request_31,2630682.84,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,"Wait until 14 September 2024, then pay IDR 18164000 in full. Paying sooner would put the IDR 16588900 minimum at risk."
request_32,16777.21,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35700 minimum protected.
request_33,42627.85,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 15 March 2026, then pay INR 118000 in full. Paying sooner would put the INR 102100 minimum at risk."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 on 04 December 2024. This keeps the INR 138500 minimum protected over the next 90 days.
request_35,22423.68,not_affordable,not_recommended,none,2026-01-16,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 106400 minimum protected.
request_36,581.16,affordable_later,wait,2026-09-13:3954,2026-09-13,none,"Wait until 13 September 2026, then pay USD 3954 in full. Paying sooner would put the USD 2400 minimum at risk."
request_37,4390728.41,affordable_later,wait,2024-04-17:14649000,2024-04-17,none,"Wait until 17 April 2024, then pay IDR 14649000 in full. Paying sooner would put the IDR 17056200 minimum at risk."
request_38,232.96,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,"Wait until 13 October 2025, then pay EUR 971.30 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,138029.39,affordable_later,wait,2026-04-14:208600,2026-04-14,none,"Wait until 14 April 2026, then pay INR 208600 in full. Paying sooner would put the INR 213400 minimum at risk."
request_40,398.73,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1500 minimum protected.
request_41,11812537,affordable_later,wait,2025-11-14:38760000,2025-11-14,none,"Wait until 14 November 2025, then pay IDR 38760000 in full. Paying sooner would put the IDR 25366600 minimum at risk."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 on 05 January 2026. This keeps the INR 113100 minimum protected over the next 90 days.
request_43,11122266.98,affordable_later,wait,2024-09-13:43339000,2024-09-13,none,"Wait until 13 September 2024, then pay IDR 43339000 in full. Paying sooner would put the IDR 21398000 minimum at risk."
request_44,30333.65,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. None of the available options keeps the INR 82900 minimum protected.
request_45,3411728.67,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,"Wait until 13 September 2026, then pay IDR 21983000 in full. Paying sooner would put the IDR 11149800 minimum at risk."
request_46,35407.72,affordable_with_plan,partial_payment,2024-12-03:35407.72|2024-12-15:14042.28,2024-12-15,none,Pay INR 35407.72 on 03 December 2024 and the remaining INR 14042.28 on 15 December 2024. This completes the full request and keeps the INR 84000 minimum protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 on 05 May 2025. This keeps the IDR 30049000 minimum protected over the next 90 days.
request_48,39467.57,affordable_with_plan,full_payment,2026-07-25:45700,2026-10-13,none,Pay INR 45700 on 25 July 2026. This keeps the INR 71300 minimum protected over the next 90 days.
request_49,10900130.20,not_affordable,not_recommended,none,2024-05-18,none,Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20275700 minimum protected.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 on 06 August 2025. This keeps the INR 99700 minimum protected over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 on 03 January 2026. This keeps the IDR 7811000 minimum protected over the next 90 days.
request_52,23805.80,affordable_with_plan,full_payment,2024-06-05:28870,2024-06-14,none,Pay INR 28870 on 05 June 2024. This keeps the INR 41500 minimum protected over the next 90 days.
request_53,553.05,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-14,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This keeps the USD 2100 minimum protected."
request_54,1957.59,not_affordable,not_recommended,none,,none,Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37000 minimum protected.
request_55,129155.36,not_affordable,not_recommended,none,2026-08-13,none,Do not make this payment by 22 August 2026. None of the available options keeps the INR 124300 minimum protected.
request_56,634.68,affordable_with_plan,partial_payment,2025-02-03:634.68|2025-02-14:246.88,2025-02-14,none,Pay USD 634.68 on 03 February 2025 and the remaining USD 246.88 on 14 February 2025. This completes the full request and keeps the USD 2100 minimum protected.
request_57,12446.96,affordable_later,wait,2026-06-13:61446,2026-06-13,none,"Wait until 13 June 2026, then pay ZAR 61446 in full. Paying sooner would put the ZAR 42700 minimum at risk."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 on 07 December 2024. This keeps the IDR 14433900 minimum protected over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 07 May 2025. This keeps the INR 132600 minimum protected."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 on 06 January 2026. This keeps the USD 400 minimum protected over the next 90 days.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This keeps the ZAR 36700 minimum protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 on 05 August 2025. This keeps the USD 1300 minimum protected over the next 90 days.
request_63,50749.33,affordable_with_plan,partial_payment,2026-07-07:50749.33|2026-08-14:293150.67,2026-08-14,none,Pay INR 50749.33 on 07 July 2026 and the remaining INR 293150.67 on 14 August 2026. This completes the full request and keeps the INR 153500 minimum protected.
request_64,33392.34,not_affordable,not_recommended,none,,none,Do not make this payment by 16 August 2024. None of the available options keeps the INR 36100 minimum protected.
request_65,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 on 03 April 2026. This keeps the INR 80700 minimum protected over the next 90 days.
request_67,302.31,affordable_later,wait,2024-09-14:2094,2024-09-14,none,"Wait until 14 September 2024, then pay USD 2094 in full. Paying sooner would put the USD 1200 minimum at risk."
request_68,1451.20,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-16,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This keeps the USD 1500 minimum protected."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 on 04 January 2026. This keeps the EUR 700 minimum protected over the next 90 days.
request_70,49646.29,not_affordable,not_recommended,none,2025-02-16,none,Do not make this payment by 15 February 2025. None of the available options keeps the INR 115000 minimum protected.
request_71,436938.17,not_affordable,not_recommended,none,,none,Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 on 05 July 2026. This keeps the ZAR 12200 minimum protected over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 on 20 January 2023. This keeps the INR 103200 minimum protected over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 on 04 August 2025. This keeps the ZAR 21900 minimum protected over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 09 April 2026. This keeps the ZAR 39000 minimum protected."
request_76,847.79,not_affordable,not_recommended,none,2024-08-21,none,Do not make this payment by 30 July 2024. None of the available options keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 on 05 November 2025. This keeps the INR 82200 minimum protected over the next 90 days.
request_78,0,affordable_with_plan,full_payment,2025-10-02:50200,,none,Pay INR 50200 on 02 October 2025. This keeps the INR 55200 minimum protected over the next 90 days.
request_79,716.44,affordable_with_plan,partial_payment,2024-09-04:716.44|2024-10-14:1435.16,2024-10-14,none,Pay EUR 716.44 on 04 September 2024 and the remaining EUR 1435.16 on 14 October 2024. This completes the full request and keeps the EUR 1000 minimum protected.
request_80,116718.68,not_affordable,not_recommended,none,2025-03-16,none,Do not make this payment by 21 February 2025. None of the available options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 on 03 July 2026. This keeps the USD 1600 minimum protected over the next 90 days.
request_82,490.31,affordable_later,wait,2024-12-16:1405.20,2024-12-16,none,"Wait until 16 December 2024, then pay USD 1405.20 in full. Paying sooner would put the USD 1100 minimum at risk."
request_83,15043.98,not_affordable,not_recommended,none,2025-06-19,none,Do not make this payment by 17 June 2025. None of the available options keeps the INR 37800 minimum protected.
request_84,30171.65,affordable_later,wait,2026-06-13:95400,2026-06-13,none,"Wait until 13 June 2026, then pay INR 95400 in full. Paying sooner would put the INR 91300 minimum at risk."
request_85,375011.04,not_affordable,not_recommended,none,,none,Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 on 03 August 2025. This keeps the INR 84900 minimum protected over the next 90 days.
request_87,22460.38,affordable_later,wait,2026-02-13:487900,2026-02-13,none,"Wait until 13 February 2026, then pay INR 487900 in full. Paying sooner would put the INR 185900 minimum at risk."
request_88,10735.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This keeps the ZAR 25800 minimum protected."
request_89,9384602.98,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"Use 3 installments of IDR 4768746.67, starting 18 November 2025. This keeps the IDR 12534700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 on 06 July 2026. This keeps the ZAR 7600 minimum protected over the next 90 days.
request_91,308,not_affordable,not_recommended,none,,none,Do not make this payment by 15 November 2024. None of the available options keeps the EUR 2100 minimum protected.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 on 05 February 2025. This keeps the ZAR 28100 minimum protected over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 on 07 April 2026. This keeps the USD 1900 minimum protected over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 on 04 December 2024. This keeps the EUR 600 minimum protected over the next 90 days.
request_95,35636.82,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2025. None of the available options keeps the INR 145500 minimum protected.
request_96,76083.06,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-14,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. This keeps the INR 56500 minimum protected."
request_97,1491.72,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This keeps the ZAR 29700 minimum protected."
request_98,9476.35,affordable_later,wait,2025-10-13:27148,2025-10-13,none,"Wait until 13 October 2025, then pay ZAR 27148 in full. Paying sooner would put the ZAR 30000 minimum at risk."
request_99,17779.22,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,none,Pay ZAR 18062 on 04 July 2026. This keeps the ZAR 49100 minimum protected over the next 90 days.
request_100,27979.63,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This keeps the ZAR 32500 minimum protected."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 on 03 November 2025. This keeps the INR 187400 minimum protected over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 05 April 2026. This keeps the EUR 900 minimum protected."
request_103,15113.86,not_affordable,not_recommended,none,,none,Do not make this payment by 07 October 2024. None of the available options keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 on 04 February 2025. This keeps the ZAR 24700 minimum protected over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 on 08 June 2026. This keeps the INR 73900 minimum protected over the next 90 days.
request_106,459.28,affordable_later,wait,2024-12-15:2207.70,2024-12-15,none,"Wait until 15 December 2024, then pay EUR 2207.70 in full. Paying sooner would put the EUR 1200 minimum at risk."
request_107,981.16,not_affordable,not_recommended,none,,none,Do not make this payment by 04 July 2025. None of the available options keeps the EUR 1600 minimum protected.
request_108,1870.94,not_affordable,not_recommended,none,2026-09-13,none,Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24100 minimum protected.
